"flex href","_1cnjm src","box-border","line-clamp-[--maxLines]","flex","box-border 2","inline-flex","relative","relative 2","relative 3","relative 4","text-caption"
"https://www.leboncoin.fr/ad/voitures/2784224861","","","Renault twingo 1.0 65 sce zen 2021","8 000 €","Pack Sérénité","202170676 kmEssenceManuelle","2021","70676 km","Essence","Manuelle","Paris 75020 20e Arrondissement"
"https://www.leboncoin.fr/ad/voitures/2819182625","","","DACIA SANDERO III - SCE65 - ACCESS - 1ERE MAIN ( comme neuve )","8 100 €","Pack Sérénité","202229500 kmEssenceManuelle","2022","29500 km","Essence","Manuelle","Marseille 13006 6e Arrondissement"
"https://www.leboncoin.fr/ad/voitures/2836260264","","","Citroën C1 Airscape","8 200 €","Pack Sérénité","202045200 kmEssenceManuelle","2020","45200 km","Essence","Manuelle","Avignon 84000"
"https://www.leboncoin.fr/ad/voitures/2832426716","","","Fiat 500 lounge 1.2 69cv","8 200 €","Pack Sérénité","202072000 kmEssenceManuelle","2020","72000 km","Essence","Manuelle","Fosses 95470"
"https://www.leboncoin.fr/ad/voitures/2814488034","","","Renault Twingo III SCe 65 Zen","8 200 €","Pack Sérénité","202036000 kmEssenceManuelle","2020","36000 km","Essence","Manuelle","Angoulême 16000"
"https://www.leboncoin.fr/ad/voitures/2788166425","","","Vends twingo 2020","8 200 €","Paiement sécurisé","202076000 kmEssenceManuelle","2020","76000 km","Essence","Manuelle","Falaise 14700"
"https://www.leboncoin.fr/ad/voitures/2787747114","","","Vends petite voiture","8 200 €","Pack Sérénité","2020126000 kmEssenceManuelle","2020","126000 km","Essence","Manuelle","Aubagne 13400"
"https://www.leboncoin.fr/ad/voitures/2785709883","","","Voiture PEUGEOT 108 STYLE","8 200 €","Paiement sécurisé","202036500 kmEssenceManuelle","2020","36500 km","Essence","Manuelle","Montalieu-Vercieu 38390"
"https://www.leboncoin.fr/ad/voitures/2678571736","","","Mpm erelis pure tech 130cv,","8 200 €","Pack Sérénité","20201900 kmEssenceManuelle","2020","1900 km","Essence","Manuelle","Lalouvesc 07520"
"https://www.leboncoin.fr/ad/voitures/2834762576","","","Twingo","8 300 €","Pack Sérénité","202060500 kmEssenceManuelle","2020","60500 km","Essence","Manuelle","Plougasnou 29630"
"https://www.leboncoin.fr/ad/voitures/2819527807","","","Renault Twingo III phase 2 1.0 SCe 12V S&S 75 cv","8 300 €","Pack Sérénité","202033900 kmEssenceManuelle","2020","33900 km","Essence","Manuelle","Herblay-sur-Seine 95220"
"https://www.leboncoin.fr/ad/voitures/2762448410","","","Fiat panda 1.2 69cv 1er main","","Paiement sécurisé","202015300 kmEssenceManuelle","2020","15300 km","Essence","Manuelle","Strasbourg 67000"
"https://www.leboncoin.fr/ad/voitures/2690478125","","Pro","308 BlueHDi 100ch S&S BVM6 Active Business","8 390 €","","2020188180 kmDieselManuelle","2020","188180 km","Diesel","Manuelle","Villeneuve-le-Roi 94290"
"https://www.leboncoin.fr/ad/voitures/2836399346","","","Twingo","8 400 €","Pack Sérénité","202058000 kmEssenceManuelle","2020","58000 km","Essence","Manuelle","Villiers-sur-Marne 94350"
"https://www.leboncoin.fr/ad/voitures/2832944456","","","Dacia Sandero","8 400 €","Pack Sérénité","202116406 kmEssenceManuelle","2021","16406 km","Essence","Manuelle","La Rochelle 17000"
"https://www.leboncoin.fr/ad/voitures/2826813851","","","Kia Picanto 1.0 DPI 67ch BVMS ACTIVE","8 400 €","Pack Sérénité","202052000 kmEssenceManuelle","2020","52000 km","Essence","Manuelle","Caen 14000"
"https://www.leboncoin.fr/ad/voitures/2816137366","","","Citroën C1 1.0 VTi Feel 5P 72 ch","8 400 €","Pack Sérénité","202034700 kmEssenceManuelle","2020","34700 km","Essence","Manuelle","Fontenay-aux-Roses 92260"
"https://www.leboncoin.fr/ad/voitures/2781485060","","","Dacia Sandero (confort) Année 2021","8 400 €","Pack Sérénité","2021114000 kmEssenceManuelle","2021","114000 km","Essence","Manuelle","Laroque 34190"
"https://www.leboncoin.fr/ad/voitures/2835607303","","Pro","CITROËN C3 III Phase 2 1.2 THP PureTech 110 cv / Première main / Revisé / Garantie / TVA","8 490 €","","2020126000 kmEssenceManuelle","2020","126000 km","Essence","Manuelle","Poitiers 86000"
"https://www.leboncoin.fr/ad/voitures/2492077827","","Pro","RENAULT TWINGO 1.0 i 65 cv","","","202043948 kmEssenceManuelle","2020","43948 km","Essence","Manuelle","Saint-Loup-Hors 14400"
"https://www.leboncoin.fr/ad/voitures/2760129400","","","Peugeot 108 1ere main 1.0 vti 72cv critair1 5 portes 23000 kms d origine","","Pack Sérénité","202123000 kmEssenceManuelle","2021","23000 km","Essence","Manuelle","Clamart 92140"
"https://www.leboncoin.fr/ad/voitures/2732482228","","Pro","CITROEN C3 III phase 2 1.2 83CH FEEL 1 ERE MAIN","","","2020105977 kmEssenceManuelle","2020","105977 km","Essence","Manuelle","Toulouse 31500 Bonnefoy-Roseraie-Gramont"
"https://www.leboncoin.fr/ad/voitures/2760082669","","Pro","RENAULT TWINGO 1.0 SCe 75 Zen","8 490 €","","202060200 kmEssenceManuelle","2020","60200 km","Essence","Manuelle","Toutlemonde 49360"
"https://www.leboncoin.fr/ad/voitures/2834848508","","Pro","RENAULT Twingo III Phase 2 1.0 SCe S&S 65 ch","8 490 €","","202130100 kmEssenceManuelle","2021","30100 km","Essence","Manuelle","Bouafle 78410"
"https://www.leboncoin.fr/ad/voitures/2492027084","","Pro","Citroen C3 1,2 83ch feel nav GPS business 5 places","","","202089000 kmEssenceManuelle","2020","89000 km","Essence","Manuelle","La Montagne 44620"
"https://www.leboncoin.fr/ad/voitures/2828389760","","","Twingo Zen 95cv - 2020","8 490 €","Pack Sérénité","202053000 kmEssenceManuelle","2020","53000 km","Essence","Manuelle","Fontainebleau 77300"
"https://www.leboncoin.fr/ad/voitures/2814114495","","Pro","Fiat 500 1,0 70 ch hybride pack dolcevita/an 2021/carplay","8 490 €","","202176000 kmHybrideManuelle","2021","76000 km","Hybride","Manuelle","Salon-de-Provence 13300"
"https://www.leboncoin.fr/ad/voitures/2777908040","","Pro","Renault twingo iii sce 65 life - 21","8 490 €","","202151000 kmEssenceManuelle","2021","51000 km","Essence","Manuelle","Saint-Pierre-La-Noue 17700"
"https://www.leboncoin.fr/ad/voitures/2774054444","","Pro","Citroën C3 1.2 PureTech 82ch Feel","8 490 €","","2020113000 kmEssenceManuelle","2020","113000 km","Essence","Manuelle","Castelginest 31780"
"https://www.leboncoin.fr/ad/voitures/2769219327","","Pro","Renault Twingo III SCe 65 Zen","8 490 €","","202164000 kmEssenceManuelle","2021","64000 km","Essence","Manuelle","Vertou 44120"
"https://www.leboncoin.fr/ad/voitures/2806746014","","","Citroen C1 2020","8 499 €","Pack Sérénité","202049778 kmEssenceManuelle","2020","49778 km","Essence","Manuelle","Choloy-Ménillot 54200"
"https://www.leboncoin.fr/ad/voitures/2774623773","","Pro","RENAULT Twingo III SCe 75 Zen","","","202047500 kmEssenceManuelle","2020","47500 km","Essence","Manuelle","Livry-Gargan 93190"
"https://www.leboncoin.fr/ad/voitures/2836362781","","","Fiat tipo","8 500 €","Pack Sérénité","2020181000 kmDieselAutomatique","2020","181000 km","Diesel","Automatique","Bordeaux 33000"
"https://www.leboncoin.fr/ad/voitures/2751976777","https://img.leboncoin.fr/api/v1/lbcpb1/images/cd/b7/b5/cdb7b5e0968c46085068f32480117a5175b3647e.jpg?rule=ad-image","","Peugeot 108","8 500 €","Pack Sérénité","202019000 kmEssenceManuelle","2020","19000 km","Essence","Manuelle","Fontenay-Trésigny 77610"
"https://www.leboncoin.fr/ad/voitures/2832580823","https://img.leboncoin.fr/api/v1/lbcpb1/images/2a/94/67/2a94670fbf22dc925f72328c23b29141c752eb67.jpg?rule=ad-image","","Dacia Sandero","8 500 €","Pack Sérénité","202072018 kmEssenceManuelle","2020","72018 km","Essence","Manuelle","Millencourt-en-Ponthieu 80135"
"https://www.leboncoin.fr/ad/voitures/2831400767","","","Voiture à vendre","8 500 €","Pack Sérénité","202055000 kmEssenceManuelle","2020","55000 km","Essence","Manuelle","Gennes-Val-de-Loire 49160 Saint-Martin-de-la-Place"
